Duration (in seconds),"Context (Medical=1, Recidivism=2)","Transparency Level (N1, O2, T3, S4)","Experimental Group [MN1, MO2, MT3, MS4, RN5, RO6, RT7, RS8)","Validation (1=right, 2= wrong)",Attitudes to AI,Attitudes Qual,AI Understanding,AI Understanding Qual,Fairness,Fairness Qual,Trust,Trust Qual,Negative Responsibility Human,Negative Resposibility AI,Positive Resposibility Human,Positive Resposibility AI,Age,"Education (Less than high school degree = 1, etc�)",Sex,Income,"Political View (Extremly Left 0, Extremly Right 100)",Religion (No religion 0 - Fully religious 100),Ethnicity
240,2,4,8,1,6,AI's graph makes the most sense,6,based on previous data,5,sometimes AIs are right and sometimes they can be wrong,4,"not fully, I think a real person should still have the final say",5,4,1,5,23,3,2,3,9,8,6
211,2,3,7,1,7,This doesn’t take into account rationale for circumstances ,8,I understand the parameters the AI is using ,3,The AI won’t take into account personal rationales ,6,I trust it to make the decision based on the parameters given ,1,9,2,9,32,4,2,4,50,4,6
294,1,2,2,1,6,"Lead consultant should have a moral ground against biases on the AI, such as systemic racism",6,I understand how a GAN works on a superficial level,5,"Depends on the values of developers, and it could be biased as we have seen with social media algorithms",6,"I mean, institutions are also biased so I guess",8,6,8,6,29,5,1,2,20,50,6
318,1,3,3,1,5,I agree and disagree because I feel like their should be more personal decision making on a human's part. ,10,I understand it takes data and uses that to analyze which person needs surgery ,9,the way it makes decisions seems very reasonable to me ,5,Yes and No. I do not know enough background info to know if I fully trust it or not. ,8,5,3,10,23,3,2,2,50,9,6
390,2,1,5,1,6,AI don't always make the right choices,4,Makes a decision on the data that's present,7,As long as dáta entered is fair and correct ,6,Situations can change so therefore AI can only make a decision on data received ,8,10,8,10,42,4,2,7,50,13,6
405,1,4,4,1,3,Because AL makes the decisions,8,Because it's the decision maker ,6,They make everything fair for everyone ,7,They make the right decision ,2,0,6,10,22,3,2,1,49,65,1
437,2,2,6,1,0,"Although AI has been great in doing many tasks, using it for important, life-changing, tasks can have serious implications and people might be wrong decisions might be made, which will be desasterous.",7,"I have some experience working with AI, and I know that AI needs to be trained and fed data in order to ""learn"". Then it can recognize patterns and make decisions based on the data fed to it",4,"It is fair in the sense that it uses real data to make decisions, but still the data fed to it might not encompass all cases that a real person might have encountered, which introduces a possibility for error",1,"I only trust it in simple aspects like giving me song recommendations. We already see that the AI used in self driving cars like Teslas can cause crashes, which lead to the death of many people",2,10,1,6,19,3,1,1,43,92,8
564,2,2,6,1,10,"The AI can make better objective decisions that a human, assuming it has concluded all deep learning. ",7,"I know how the process of teaching an AI works, but am not sure how each individual decision making mechanism works.",8,Assuming the AI is programmed to make ethical and efficient decisions,9,"AI's are not able to make unethical choices on purpose, while humans are",8,7,8,6,20,3,2,1,19,6,6
535,2,4,8,1,8,"Given the number of factors what need to be weighed to make these decisions using an AI would place the lead officer at a significant advantage. Using AI in this scenario can better organize the lead officer, and make the decision a more systematic one. ",9,"The AI has a ranking of the factors that need to be factored to make this decisions, as well as has ranked them. The AI can essentially generate a score that would then align with the needs of the ex-convicts. ",8,"The AI system would certainly be unbiased given that it would only take in certain pieces of information that are void of emotional and circumstantial, which is why any decision made by the AI should be supplemented by any insight the officer has into a particular case. ",8,"I have confidence in the decision that the AI will make however there are certain aspects of ones life, especially one of a ex-convict that cannot be quantified and there lies the shortcomings of the AI. ",8,8,8,8,28,6,2,7,10,52,2
562,1,1,1,1,5,It all depends on how well the AI is “trained” and how much information it has — which not easy to estimate from the given text.,6,My guess is that it prioritises patience considering the severeness and urgency,7,"Again, I can’t be entirely sure! But chances are, it much more fair than a human being.",3,"Guess it’s my slight technology phobia speaking, but I would definitely let AI make its choices but leave the final decision to the hospital staff.",6,10,5,2,26,5,2,1,11,0,6
